module	Origin	8MPa	15MPa	30MPa	8MPaII	15MPaII	30MPaII
M00608	43.31189704599999	52.893527789000004	73.615215259	65.129326289	66.445388702	43.672319564999995	58.832750577
M00609	370.1164969450001	431.70226439299984	488.8382191920001	488.7476074580001	510.5053494289999	417.90810755499984	491.8489944050002
M00615	185.84538303699998	446.05297385499995	367.714345949	469.19813012599997	437.86552405	685.8033019010002	497.663006546
M00616	86.81380394300001	212.048050671	153.009314749	213.79814454400002	195.53728849299998	339.927248919	326.63874707400004
M00620	4038.0460621720003	3254.9315146160006	3223.0199532070005	2922.0261812909994	2849.0677093170007	1989.3569782740005	2081.47233816
M00622	19.750714865	30.460099168	32.340502277	67.205854705	57.777835524	259.675180666	362.662807171
M00623	6.5706773609999996	10.246224185	7.824417482000001	11.910061097000002	9.400382653000001	11.030735003	7.542214374
M00627	67.192159498	177.71324340900003	211.04933762400006	228.61043524500002	269.3938697520001	350.0940598369999	396.437752722
M00630	0.110141481	0.22145969	0.25508948800000003	0.26219969600000004	0.097626248	0.286781847	0.091949212
M00631	191.31632934	318.74384641	269.1496336309999	326.180117672	321.04309185	472.4524910260001	510.1345452300001
M00632	1276.486256575	1175.1652052709996	1174.4624539510005	1168.4873373799996	1191.2028085669997	987.0270620090005	1026.6366073329998
M00633	17.273954034000006	27.622545375	29.712356136000004	37.014007568000004	35.35727622899999	46.171823883	36.64834445300001
M00637	0.512941984	2.714571675	2.080164306	2.9661326390000005	2.822212624	3.246709841	4.280651307
M00638	3.866573758	10.815440915	7.8438500520000005	10.324077626000003	9.503188602000002	60.282875133999994	87.211860327
M00639	0.34844295000000003	0.7262421529999998	0.6182377170000001	0.5369279899999999	0.8569774530000001	64.381233694	107.66379301100001
M00641	99.05619559699997	194.41461620500002	162.35588348900004	236.76309727900002	212.98217959500008	496.167216396	413.78569709
M00642	465.9560957450002	483.7444891970001	370.5811811099999	444.47888828300006	422.73148757700005	673.9367766390002	619.406923853
M00643	266.02956184900023	218.25736231900004	168.12375393299993	176.0987885530001	176.89164475299998	254.56636879600015	247.2907721739999
M00649	25.372369131	64.738377043	50.961410581	61.551785576	53.559422858000005	71.194887359	104.172460962
M00651	354.65604351900004	394.949508608	396.61331446400004	347.31900393800004	350.278107632	233.95585612500003	274.80319077599995
M00652	3.3052033960000005	3.584620759	28.787801561	24.152228561999998	27.618397885	2.374881278	29.073575622999996
M00660	19.995858708	32.800662585999994	33.641361232	68.415354545	62.457805265999994	366.38171991799993	437.43442285
M00664	1.2637610499999998	1.688303364	1.581982778	1.7997353889999999	1.5386811009999999	1.159813204	0.6618113080000001
M00673	0.5739075229999999	1.3689065580000002	1.191283326	1.673427775	1.363198593	20.914886577	32.885158625
M00696	756.8446244469998	631.8148690589998	544.5191701980003	536.3600665549999	502.35702437700036	452.1863257660002	412.21364115500023
M00697	756.8446244469998	631.7818978509997	544.5191701980003	536.3600665549999	502.35702437700036	452.1814906520002	409.2286949140002
M00698	28.325764066999998	56.164126439	43.57142906000001	71.846601702	66.71499254399998	249.16187445800003	298.02516812399995
M00700	0.393796812	0.976799618	11.871491364999999	10.735525443999999	14.700742255000002	3.320273649	18.17294622
M00702	0.413641612	1.051463673	13.678779162	13.539251633	17.069633007	4.259195372000001	19.818792542
